Stock;Model;Preprocessing;CrossValidation;Parameters;Accuracy_1Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_1Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_1Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_1Days_[-inf, -1.5, 1.5, inf];Accuracy_1Days_[-inf, 0, inf];Accuracy_5Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_5Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_5Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_5Days_[-inf, -1.5, 1.5, inf];Accuracy_5Days_[-inf, 0, inf];Accuracy_10Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_10Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_10Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_10Days_[-inf, -1.5, 1.5, inf];Accuracy_10Days_[-inf, 0, inf];training_time;prediction_time;round
TSLA.csv;MLPClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__max_iter': [200, 600], 'model__batch_size': [100, 150, 200], 'model__solver': ['adam'], 'model__activation': ['relu', 'tanh']};0,29218107;0,29218107;0,387180584;0,424302968;0,53909465;0,300411523;0,300411523;0,427931274;0,624448002;0,452674897;0,320987654;0,320987654;0,363343581;0,648261105;0,49382716;0 days 00:11:11.688016;0 days 00:00:00.003001;1
AMGN.csv;Dummy;;;;0,650205761;0,650205761;0,216735254;0,422767532;0,46090535;0,296296296;0,296296296;0,098765432;0,087791495;0,485596708;0,358024691;0,358024691;0,119341564;0,12818168;0,46090535;;;0
AAPL.csv;AdaBoostClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__n_estimators': [200, 300]};0,485596708;0,485596708;0,360021786;0,411428495;0,526748971;0,378600823;0,378600823;0,387838243;0,436041874;0,563786008;0,588477366;0,588477366;0,237217306;0,42515508;0,592592593;0 days 00:01:25.179007;0 days 00:00:00.021907;1
TSLA.csv;Transformer;;;;0,262295082;0,262295082;0,333333333;0,262295082;0,569672131;0,282786885;0,282786885;0,333333333;0,282786885;0,352459016;0,262295082;0,262295082;0,350877193;0,262295082;0,254098361;;;7
AMGN.csv;Transformer;;;;0,651639344;0,651639344;0,333333333;0,651639344;0,483606557;0,299180328;0,299180328;0,333333333;0,299180328;0,516393443;0,356557377;0,356557377;0,333333333;0,356557377;0,536885246;;;7
AAPL.csv;LSTM;;;;0,516393443;0,516393443;0,333333333;0,516393443;0,549180328;0,520491803;0,520491803;0,330729167;0,520491803;0,516393443;0,639344262;0,639344262;0,338115331;0,639344262;0,713114754;;;3
TSLA.csv;LSTM_withLags;;;;;;;;;;;;;0,419753086;0,234567901;0,234567901;0,337254902;0,234567901;0,473251029;;;5
AMGN.csv;AdaBoostClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [80, 'all'], 'model__n_estimators': [350, 400, 500], 'model__learning_rate': [1, 1.1, 1.5]};0,419753086;0,419753086;0,241648746;0,414901544;0,50617284;0,316872428;0,316872428;0,385996772;0,364272263;0,572016461;0,349794239;0,349794239;0,224189633;0,203233887;0,600823045;0 days 00:05:54.332441;0 days 00:00:00.050522;2
AAPL.csv;Random;;;;0,316872428;0,316872428;0,314726774;0,359282195;0,477366255;0,29218107;0,29218107;0,294538713;0,342986193;0,46090535;0,374485597;0,374485597;0,384277613;0,553143052;0,423868313;;;
TSLA.csv;AdaBoostClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__n_estimators': [50, 100, 200]};0,267489712;0,267489712;0,421487603;0,370064279;0,456790123;0,283950617;0,283950617;0,094650206;0,080627953;0,596707819;0,234567901;0,234567901;0,409405256;0,751242252;0,271604938;0 days 00:00:09.087643;0 days 00:00:00.005990;1
AMGN.csv;Random;;;;0,312757202;0,312757202;0,330658436;0,477076665;0,489711934;0,362139918;0,362139918;0,358697416;0,36312027;0,518518519;0,33744856;0,33744856;0,338010897;0,355302546;0,448559671;;;
AAPL.csv;LSTM_withLags;;;;;;;;;;;;;0,419753086;;;;;;;;5
AAPL.csv;Transformer;;;;0,516393443;0,516393443;0,333333333;0,516393443;0,454918033;0,229508197;0,229508197;0,333333333;0,229508197;0,344262295;0,229508197;0,229508197;0,333333333;0,229508197;0,286885246;;;6
